"","Hybrid SMT","CNN","RNN","Attention","Google","DeepL"
"Number.of.correct",43,31,54,50,78,83
"Perc.correct",29.8611111111111,21.5277777777778,37.5,34.7222222222222,54.1666666666667,57.6388888888889
"Correct.short",21,21,29,26,40,42
"Perc.correct.short",29.1666666666667,29.1666666666667,40.2777777777778,36.1111111111111,55.5555555555556,58.3333333333333
"Correct.long",22,10,25,24,38,41
"Perc.correct.long",30.5555555555556,13.8888888888889,34.7222222222222,33.3333333333333,52.7777777777778,56.9444444444444
"Correct.lexical",25,23,39,42,54,57
"Perc.correct.lexical",24.0384615384615,22.1153846153846,37.5,40.3846153846154,51.9230769230769,54.8076923076923
"Correct.syntactic",18,8,15,8,24,26
"Perc.correct.syntactic",45,20,37.5,20,60,65
"Correct.lexical.ambiguities",23,23,38,41,54,53
"Perc.correct.lexical.ambiguities",23.9583333333333,23.9583333333333,39.5833333333333,42.7083333333333,56.25,55.2083333333333
"Correct.homographs",2,0,1,1,0,4
"Perc.correct.homographs",25,0,12.5,12.5,0,50
"Correct.scope.related",7,2,3,3,10,10
"Perc.correct.scope.related",43.75,12.5,18.75,18.75,62.5,62.5
"Correct.anaphora",11,6,12,5,14,16
"Perc.correct.anaphora",45.8333333333333,25,50,20.8333333333333,58.3333333333333,66.6666666666667
"Correct.anaphora.with.interruption",6,3,6,2,5,8
"Perc.correct.anaphora.with.interruption",75,37.5,75,25,62.5,100
"Correct.anaphora.without.interruption",5,2,4,0,5,4
"Perc.correct.anaphora.without.interruption",62.5,25,50,0,62.5,50
"Correct.ambiguities.at.beginning",10,12,19,19,24,23
"Perc.correct.ambiguities.at.beginning",22.7272727272727,27.2727272727273,43.1818181818182,43.1818181818182,54.5454545454545,52.2727272727273
"Correct.ambiguities.mid",13,11,19,22,30,30
"Perc.correct.ambiguities.mid",25,21.1538461538462,36.5384615384615,42.3076923076923,57.6923076923077,57.6923076923077
